data-name,model-accuracy,Validity,Proximity,Sparsity,surrogte-accuracy,surrogates-cross-entropy,Plausibility,method,validity-rank,proximity-rank,compactness-rank,data type
TwoLeadECG,0.9973661106233538,0.6,0.2303224425987778,0.7787456445993032,0.4347826086956521,-0.3386876285076141,1.0,"MASCOTS, $\lambda=0.1$",3.0,2.0,1.0,univariate
GunPoint,1.0,0.54,0.2558227475718645,0.6906172839506173,1.0,-0.0457594357430934,1.0,"MASCOTS, $\lambda=0.1$",2.0,3.0,2.0,univariate
Earthquakes,0.6834532374100719,0.14,0.1751376893732103,0.6993689903846154,0.8167701863354038,-0.5159436464309692,0.9743589743589745,"MASCOTS, $\lambda=0.1$",2.0,2.0,2.0,univariate
Coffee,1.0,0.6071428571428571,0.1910420059082047,0.762937062937063,0.9285714285714286,-0.0998266488313674,0.9333333333333332,"MASCOTS, $\lambda=0.1$",1.0,2.0,1.0,univariate
Wine,0.4629629629629629,0.32,0.0517558243173868,0.8808446455505279,0.5087719298245614,-0.3686634004116058,1.0,"MASCOTS, $\lambda=0.1$",2.0,3.0,2.0,univariate
ItalyPowerDemand,0.966958211856171,0.46,0.5889353793569703,0.5,0.5074626865671642,-0.3454523086547851,1.0,"MASCOTS, $\lambda=0.1$",2.0,2.0,1.0,univariate
BasicMotions,0.5,0.0,0.107198347682538,0.9251515151515152,1.0,-0.081500306725502,1.0,"MASCOTS, $\lambda=0.1$",2.0,1.0,1.0,multivariate
Cricket,0.2361111111111111,0.3,0.2852936936183776,0.9108338479047862,0.7685185185185185,-0.2671346664428711,1.0,"MASCOTS, $\lambda=0.1$",2.0,1.0,1.0,multivariate
Epilepsy,0.3043478260869565,0.16,0.3719625976746284,0.870135258484773,0.9562043795620438,-0.3716274797916412,0.9487179487179488,"MASCOTS, $\lambda=0.1$",2.0,1.0,1.0,multivariate
RacketSports,0.3684210526315789,0.16,0.5714188266038309,0.8469907407407408,0.5629139072847682,-0.2599049806594848,1.0,"MASCOTS, $\lambda=0.1$",3.0,2.0,2.0,multivariate
TwoLeadECG,0.9973661106233538,0.66,0.4421950164609255,0.6093044263775971,,,0.8518518518518519,"MASCOTS, $\lambda=0.0$",1.0,3.0,2.0,univariate
GunPoint,1.0,0.62,0.2163838797182826,0.7140740740740741,,,1.0,"MASCOTS, $\lambda=0.0$",1.0,2.0,1.0,univariate
Earthquakes,0.6834532374100719,0.16,0.1558956112025224,0.7366365131578947,,,0.9736842105263158,"MASCOTS, $\lambda=0.0$",1.0,1.0,1.0,univariate
Coffee,1.0,0.5,0.6346228348257159,0.5361305361305362,,,0.25,"MASCOTS, $\lambda=0.0$",2.0,4.0,2.0,univariate
Wine,0.4629629629629629,0.18,0.05102385362517,0.8848141522560127,,,1.0,"MASCOTS, $\lambda=0.0$",3.0,2.0,1.0,univariate
ItalyPowerDemand,0.966958211856171,0.54,0.6421657896849948,0.4583333333333333,,,1.0,"MASCOTS, $\lambda=0.0$",1.0,3.0,3.0,univariate
BasicMotions,0.5,0.0,0.3405208752894225,0.875530303030303,,,0.9545454545454546,"MASCOTS, $\lambda=0.0$",2.0,2.0,2.0,multivariate
Cricket,0.2361111111111111,0.4,0.6224698535662841,0.8933618769145085,,,0.9583333333333334,"MASCOTS, $\lambda=0.0$",1.0,2.0,2.0,multivariate
Epilepsy,0.3043478260869565,0.16,0.3904495883097809,0.8600531076259231,,,0.9743589743589745,"MASCOTS, $\lambda=0.0$",2.0,2.0,2.0,multivariate
RacketSports,0.3684210526315789,0.18,0.5549914570143737,0.8625514403292182,,,0.9629629629629628,"MASCOTS, $\lambda=0.0$",1.5,1.0,1.0,multivariate
TwoLeadECG,0.7304653204565408,0.64,1.2357381450047722,3.7639265281541705e-05,,,1.0,Glacier,2.0,4.0,4.0,univariate
GunPoint,0.8,0.42,2.9524783369545275,7.927070947284979e-06,,,1.0,Glacier,3.0,4.0,4.0,univariate
Earthquakes,0.7482014388489209,0.04,6.424431358412178,2.4583604600694445e-05,,,1.0,Glacier,4.0,4.0,4.0,univariate
Coffee,1.0,0.3571428571428571,0.3865894139736697,5.395838729172063e-05,,,1.0,Glacier,3.0,3.0,4.0,univariate
Wine,0.7962962962962963,0.68,0.0897849886063401,0.0004674145299145,,,1.0,Glacier,1.0,4.0,4.0,univariate
ItalyPowerDemand,0.9620991253644317,0.38,2.8497132480027894,0.0,,,1.0,Glacier,3.0,4.0,4.0,univariate
TwoLeadECG,0.9973661106233538,0.26,0.0498188717552274,0.5016479894528675,,,1.0,M-CELS,4.0,1.0,3.0,univariate
GunPoint,1.0,0.12,0.0568355538391857,0.4989393939393939,,,1.0,M-CELS,4.0,1.0,3.0,univariate
Earthquakes,0.6834532374100719,0.1,0.2794285761716581,0.4973524305555555,,,1.0,M-CELS,3.0,3.0,3.0,univariate
Coffee,1.0,0.1785714285714285,0.0240786589238514,0.4942231681362116,,,0.9565217391304348,M-CELS,4.0,1.0,3.0,univariate
Wine,0.4629629629629629,0.02,0.0027525864087462,0.4988662131519274,,,1.0,M-CELS,4.0,1.0,3.0,univariate
ItalyPowerDemand,0.966958211856171,0.04,0.0741519023189044,0.4913194444444444,,,1.0,M-CELS,4.0,1.0,2.0,univariate
BasicMotions,0.5,0.0,1.2196316965955412,0.495375,,,1.0,M-CELS,2.0,3.0,3.0,multivariate
Cricket,0.2361111111111111,0.16,1.0898808991631208,0.500228746469348,,,1.0,M-CELS,3.0,3.0,3.0,multivariate
Epilepsy,0.3043478260869565,0.16,0.6788183924911646,0.5011943288642318,,,1.0,M-CELS,2.0,3.0,3.0,multivariate
RacketSports,0.3684210526315789,0.18,0.8628027640443802,0.5009485094850948,,,1.0,M-CELS,1.5,3.0,3.0,multivariate
